"Season","Week","DateTime","Away","Away.Pts","Away.Yds","Away.TOs","Home","Home.Pts","Home.Yds","Home.TOs","Home.Spread","Game.Spread","Game.Total"
2000,1,2000-09-03 13:00:00,"CHI",27,425,1,"MIN",30,374,1,-3,3,57
2000,1,2000-09-03 13:00:00,"IND",27,386,2,"KC",14,280,1,13,13,41
2000,1,2000-09-03 13:01:00,"CAR",17,236,1,"WAS",20,396,0,-3,3,37
2000,1,2000-09-03 13:02:00,"BAL",16,336,0,"PIT",0,223,1,16,16,16
2000,1,2000-09-03 13:02:00,"JAC",27,398,0,"CLE",7,249,1,20,20,34
2000,1,2000-09-03 13:02:00,"SF",28,339,1,"ATL",36,359,1,-8,8,64
2000,1,2000-09-03 13:02:00,"TB",21,296,1,"NE",16,278,1,5,5,37
2000,1,2000-09-03 13:03:00,"DET",14,187,2,"NO",10,252,3,4,4,24
2000,1,2000-09-03 13:04:00,"ARI",16,355,4,"NYG",21,395,2,-5,5,37
2000,1,2000-09-03 16:05:00,"PHI",41,425,3,"DAL",14,167,2,27,27,55
2000,1,2000-09-03 16:15:00,"LAC",6,255,4,"LV",9,233,0,-3,3,15
2000,1,2000-09-03 16:16:00,"SEA",0,143,6,"MIA",23,308,1,-23,23,23
2000,1,2000-09-03 16:20:00,"NYJ",20,379,1,"GB",16,211,2,4,4,36
2000,1,2000-09-03 20:35:00,"TEN",13,172,1,"BUF",16,266,0,-3,3,29
2000,1,2000-09-04 21:07:00,"DEN",36,424,0,"LAR",41,513,3,-5,5,77
2000,2,2000-09-10 12:00:00,"MIA",7,209,1,"MIN",13,468,4,-6,6,20
2000,2,2000-09-10 13:00:00,"CLE",24,354,1,"CIN",7,318,3,17,17,31
2000,2,2000-09-10 13:00:00,"LV",38,359,0,"IND",31,462,3,7,7,69
2000,2,2000-09-10 13:01:00,"CHI",0,165,4,"TB",41,327,0,-41,41,41
2000,2,2000-09-10 13:01:00,"GB",18,274,3,"BUF",27,309,1,-9,9,45
2000,2,2000-09-10 13:02:00,"JAC",36,421,4,"BAL",39,331,2,-3,3,75
2000,2,2000-09-10 13:02:00,"NYG",33,387,0,"PHI",18,237,0,15,15,51
2000,2,2000-09-10 13:03:00,"KC",14,189,0,"TEN",17,353,3,-3,3,31
2000,2,2000-09-10 16:15:00,"CAR",38,450,1,"SF",22,391,2,16,16,60
2000,2,2000-09-10 16:15:00,"NO",28,323,3,"LAC",27,188,2,1,1,55
